"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&interval=Permian,Ladinian&private"
"Access Time","Fri 2024-10-25 09:23:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","interval","Permian,Ladinian"
"","timerule","major"
"","private","1"
"Elapsed Time","3.12"
"Records Found","3667"
"Records Returned","3667"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Balfour","Palingkloof","mudstone/sandstone","251.902","247.2","ZA","1","10"
"str","","Balfour","Ripplemead","","251.902","247.2","ZA","1","2"
"str","","Baliqiliq","","""limestone""","283.5","273.01","CN","1","1"
"str","","Baliqliq","","""limestone"",""limestone""/mudstone","283.5","273.01","CN","9","52"
"str","","Bamchi","","""limestone""","298.9","293.52","KR","13","51"
"str","","Ban O","","""limestone""","247.2","242","LA","1","4"
"str","","Banbidian","","","293.52","290.1","CN","1","10"
"str","","Bancheng","","chert","254.14","251.902","CN","4","43"
"str","","Bandanna","","sandstone","254.14","251.902","AU","2","22"
"str","","Bandanna","Kaloola","","259.51","254.14","AU","1","11"
"str","","Banna","","""limestone"",""shale"",marl,siltstone,siltstone/mudstone","244.7","242","CN","6","26"
"str","","Banna","Lower","""shale"",mudstone/siltstone","244.7","243.8","CN","2","9"
"str","","Baoeraobao","","","259.51","251.902","CN","1","4"
"str","","Baoeraokao","","","259.51","251.902","CN","1","3"
"str","","Baogete","","""limestone""","273.01","266.9","CN","1","20"
"str","","Baoligu","","","290.1","273.01","CN","1","7"
"str","","Baomoshan","","""limestone"",""limestone""/sandstone","290.1","283.5","CN","2","23"
"str","","Bap","","""siliciclastic""","293.52","290.1","IN","1","7"
"str","","Barabash","","""limestone""","264.28","259.51","RU","27","94"
